27 Grand Canal Residence Forbes St  Grand Canal Dock  Dublin 2, 1265.0, ### Property Description:  Very large 2 bedroom apartment in the Marker Residence in Grand Canal Dock   Dublin 2.   The bedroom on offer is double ensuite and the apartment has all modern conveniences.   Available for minimum one year.   Apartment is recently re painted  new carpets and the apartment is in a super central location with many local attractions and amenities.      I currently live in the property myself and I am looking to share with one individual only. So apologies I will not be accepting couples .  
The Copse  Woodpark  Ballinteer  Dublin 16, 780.0, ### Property Description:  Lovely large ensuite master bedroom is available in a beautiful two bed 1st floor apartment in a nice & quiet area. The master bedroom has large built-in wardrobes  book shelf  under bed storage containers provided  nice mattress and king size bed & two matching bedside lockers. Gas heating & wood floor.      Many parking spaces available just besides the apartment block.      3 mins walk to #16 bus stop  6 mins walk to #14/ 75 bus stop  20 mins walk to Balally luas stop/Dundrum shopping center. 6 min walk to Ballinteer SuperValu  pharmacy  etc. Marley park / M50 Exit #13 are few mins drive away.      Can accept a couple for 900 euro rent      Relaxed easy-going professional female living in the apartment (mid 30s) would like to share with a friendly tidy and easy-going housemate.      Bills not included in the price - Bills shared: Virgin Media  Gas and Electricity (no bin charges).      No pets please.      Deposit and references are required.      Feel free to contact by email only (by replying this advertisement from daft only) for more information / with some introduction about yourself.  
Block A Smithfield Market  Smithfield  Dublin 1, 740.0, ### Property Description:  Bright bedroom with own terrace access  there is only 1 more person in the whole apartment  a French female in early twenties  nobody else. Parking available.   Fast Virgin 250Mbps wifi internet in apartment.   Looking for an easy going  tidy and responsible female.   Apartment has all modern conveniences like dishwasher  washer  fridge freezer  microwave  storage room  large terrace.   The bed is a size small double so 120x200cm.   Deposit of 1 month's rent to secure the lease. Lease is signed and provided.   Bills: internet 20 EUR per person per month and electricity according to consumption  bill split in 2 parts by tenants (estimated 30-40 EUR per month). No other bills or charges.   Apartment is fully equipped with everything you may need.   24 hour security and concierge who signs for incoming mail and keeps it for you.   Smithfield Market is on the Smithfield Red Luas stop.   Secure underground parking spaces available for 80 EUR per month.   15 minutes walk to O'Connell St.   37  39  70  83 bus stops 3 minutes walk.   DublinBikes two stations on doorstep.   Lidl  Fresh Supermarket  Insomnia  1Escape Gym  Pizzeria  Restaurant  Pub on doorstep.   Bicycle parking stands in underground parking.  
Collins Avenue  Glasnevin  Dublin 9, 651.75, ### Property Description:  Student Accommodation.      Available on a flexible basis  to suit your academic term and/or year.      Visit www.gsv.ie or email us for more information.      Rooms to let.      Located beside DCU and on main bus route into city centre.  
Blessington Street  Dublin 1, 500.0, ### Property Description:  Brand new house right in the city centre coming to the market available immediately.      The house comprises an open plan sitting and dining area  fully fitted kitchen  and spacious rooms designated laundry area and      The location is next to none  right in the city centre *5 minutes by walk to O'Connell street* close to all major universities and English schools.      There are plenty of restaurants  shops  supermarkets  barbers  hairdressers  bars and cafes in the area.      VIEWING A MUST  
Broadstone Avenue Phisborough  Phibsborough  Dublin 7, 400.0, ### Property Description:  Ground floor apartment available it is located in Phisborough rd  it comprises 2 single bedrooms  and a twin bedroom  separate kitchen  toilet and a comfy living room.      The property is just 15 minutes walking g to the city centre.      Viewing is highly recommended.  
Royal Canal Terrace  Phibsborough  Dublin 7, 400.0, ### Property Description:  Brand new house right in the city centre coming to the market available immediately.      The house comprises an open plan sitting and dining area  fully fitted kitchen  and spacious rooms designated laundry area and a lovely garden for Barbeques in summer!      The location is next to none  right in the city centre 10 minutes by walk to O'Connell street  Dublin bikes station at the door steep  close to all major universities and English schools.      There are plenty of restaurants  shops  supermarkets  barbers and hairdressers  bars and cafes in the area.      VIEWING A MUST  
Manor Court  Harold'S Cross  Dublin 6W  Co. Dublin  Harold'S Cross  Dublin 6, 850.0, ### Property Description:  .Newly REFURBISHED 3&2 bedsroom apartment      IRPC is proud to present this astonishing apartment in the esteemed Manor Court Development.      The apartment is currently renovating  work will be done at 15th August. The apartment are now can be booked.      Bill included.   WiFi included.   Two weekly cleaning included.      What available:      Apartment No.30      Big size double bed room (couple acceptable) 900/month GONE      Mid size single bed room 750/month      Small size double bed room 800/month      Big size single bed room 850/month      Apartment No. 29      https://720yun.com/t/efvkOeqy0fb?scene_id=51973113      Big size double bed room (couple acceptable) 900/month      Small size single bed room 750/month      Small size double bed room 800/month      Apartment      Property Features:   \- Fully Refurbished   \- Modern high-end Kitchen and Bathrooms   \- Gas central heating   \- Concierge Service with 24hr CCTV   \- King size master bedroom with walk-in rain shower   \- Extremely spacious   \- Amazing views   \- Parking Space Included  
Coopers Yard  Smithfield  Dublin 1, 1100.0, ### Property Description:  AVAILABLE NOW -   VIEWING BY APPOINTMENT - - - - - -   STRICTLY NO PETS - - -      1 Bedroom With Double bed Available Now -      This Apartment conveniently located in the heart of Smithfield.      This Apartment comprises of: an entrance hallway. -      Modern Kitchen with all mod-cons - see List Below -      Good-sized living room  with 2 double Sofas. -      Bathroom  with bath and shower and WC      2 double bedrooms  with built in wardrobes -      NOTE - 1 Bedroom With Double bed - Available Now -      Fully Furnished Throughout      There are high efficiency electric heaters  with night and day electricity meters -      This Apartment opens out onto your own private balcony which overlooks the Plaza Courtyard -      See Plan Drawing of Apartment in Photo List      This apartment is centrally located in an internal courtyard of Smithfield Village in a secure  gated development. This apartment is 5 Minutes from LUAS. -      5 Minutes' Walk from all amenities - Supermarket  Lighthouse Cinema  restaurants  bars all on its doorstep.      This Apartment is circa 1.5 Kilometres from the City Centre. -      Terms of Lease - Deposit 1100 Euro Plus 1100 Euro One Month Rent in Advance -   All viewings shall be Private. -   There will not have group viewings.      Private viewings shall then take place by appointment at an arranged time.      Please contact me through DAFT or email me To make a   private viewing appointment      Please leave your Phone number and I will contact you for Viewing Appointment -         Available to Move In: IMMEDIATELY - - - - -   WELL WORTH VIEWING - - - - -               Fully Furnished Throughout      \- CHEAP NIGHT POWER RATE   \-   \- Fully Fitted Kitchen   \- Electric Cooker and Hob   \- Fridge/Freezer   \- electric Kettle   \- Microwave   \- Toaster   \- Many Kitchen and Household Utensils   \- Vacuum Cleaner   Waste Disposal Included in Rent   \- - - - - - - - - - - -   \- Electric Heating NOT Included in Rent   \- Cable TV NOT Included in Rent   \- Waste Disposal Included in Rent  
123 Summerhill  Dublin 1, 1042.8, ### Property Description:  aparto is an award-winning STUDENT accommodation in Dublin. Beckett House opened in September 2018. With 393 students  a team of friendly staff  our house dogs and a range of common facilities  Beckett House is the ideal student home. Perfect for socialising and studying.      Located on Gardiner Street  Beckett House is perfectly placed for students commuting to Trinity College  TU Dublin  DCU  RCSI  and the National College of Ireland. The residence is less than a 5 minute walk to the city centre and the restaurants  bars  and shops on O'Connell Street and Henry Street.      Take your pick from a choice of ensuite rooms  in shared apartments.   Each modern room will come complete with considerable wardrobe and under-bed storage space  a private ensuite shower room  study desk  and comfy 4ft double bed.   All apartments feature a shared kitchen and lounge area.      Beckett House will be the perfect place for socialising - as well as studying -  with its range of onsite facilities. You will have full access to a large comfortable lounge area  cinema room  private dining room and gym. The exterior will be just as impressive  as you'll have access to your own rooftop terrace as well as a games court - so there will be plenty of opportunities to relax  get to know your neighbours  or get your head down with your books  comfortably.      On top of all this - utility bills  internet  contents insurance  and onsite maintenance are all included in the price.      Community is at the heart of everything that aparto do - and it's no different at Beckett House. Join one big family  with staff and residents from around the world - focused on creating experiences you'll be proud - and very happy - to be a part of!      aparto run a full events programme throughout the year  led by our residents  ranging from chilled out breakfast mornings  yoga sessions  cinema nights to more lively cocktail nights and cultural celebrations.      There's always something going on!      Book with confidence FREE cancellation & flexible start dates   Get a free cancellation or defer the start of your booking if you can't travel or your university start date is delayed. See our cancellation policy on our website**** https://apartostudent.com/cancellation-policy-ireland  
